date,year,month,company,operation,data_type,cathode_production_plan_t,cathode_production_actual_t,production_plan_attainment_pct,plant_availability_pct,plant_utilization_pct,pls_cu_grade_g_l,cu_recovery_pct,ew_current_efficiency_pct,acid_consumption_kg_t,power_consumption_kwh_t,unplanned_downtime_hours,trifr,lti,near_misses,revenue_per_tonne_mnt,revenue_mnt,unit_operating_cost_mnt_t,operating_cost_mnt,operating_margin_mnt
2021-01-01,2021,1,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,702.0,642.09,91.47,92.13,90.57,2.45,73.76,90.29,4.29,2355.11,11.97,2.36,0,4,25260818,16219766207,13427118,8621443585,7598322622
2021-02-01,2021,2,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,675.0,617.26,91.45,91.37,88.25,2.5,73.88,90.1,4.31,2297.19,26.71,2.5,0,4,24927306,15386540333,13569390,8375793289,7010747044
2021-03-01,2021,3,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,729.0,667.07,91.5,93.3,90.96,2.44,73.7,90.43,4.27,2345.97,10.38,2.42,0,5,25355122,16913577252,13711802,9146697355,7766879898
2021-04-01,2021,4,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,738.0,675.44,91.52,92.38,88.72,2.51,74.69,89.49,4.15,2330.5,9.94,2.27,0,3,24444023,16510584728,13489887,9111672004,7398912724
2021-05-01,2021,5,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,765.0,699.73,91.47,92.13,89.71,2.46,73.8,89.64,4.34,2352.35,18.3,2.24,0,3,25006500,17497837034,13922612,9742090667,7755746367
2021-06-01,2021,6,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,774.0,708.23,91.5,91.74,88.84,2.49,74.73,90.52,4.15,2289.85,17.9,2.28,0,3,24666185,17469421842,13883155,9832517080,7636904762
2021-07-01,2021,7,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,792.0,724.46,91.47,91.9,89.62,2.46,74.03,90.59,4.23,2304.66,15.73,2.43,0,3,26053602,18874759809,13618600,9866113963,9008645846
2021-08-01,2021,8,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,801.0,731.83,91.36,90.03,86.04,2.43,73.24,89.23,4.2,2359.89,37.24,2.36,0,5,24368326,17833429610,13778960,10083832071,7749597539
2021-09-01,2021,9,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,783.0,716.5,91.51,91.79,88.97,2.49,74.76,89.45,4.25,2358.74,20.12,2.28,0,3,25118226,17997085589,13661812,9788621184,8208464406
2021-10-01,2021,10,Achit-Ikht LLC,Achit-Ikht Copper Cathode Operation,SYNTHETIC_DEMO,747.0,683.22,91.46,91.8,88.11,2.39,73.89,89.53,4.33,2370.29,17.21,2.47,0,3,25470120,17401568529,13532820,9245825691,8155742838
