report_date,throughput_plan,throughput_actual,recovery
2021-01-01,702.0,642.09,73.76
2021-02-01,675.0,617.26,73.88
2021-03-01,729.0,667.07,73.7
2021-04-01,738.0,675.44,74.69
2021-05-01,765.0,699.73,73.8
2021-06-01,774.0,708.23,74.73
2021-07-01,792.0,724.46,74.03
2021-08-01,801.0,731.83,73.24
2021-09-01,783.0,716.5,74.76
2021-10-01,747.0,683.22,73.89
2021-11-01,738.0,675.08,74.25
2021-12-01,756.0,691.52,73.63
2022-01-01,717.6,630.23,73.98
2022-02-01,690.0,605.81,73.02
2022-03-01,745.2,654.46,74.04
2022-04-01,754.4,661.54,73.1
2022-05-01,782.0,685.95,72.86
2022-06-01,791.2,694.26,73.34
2022-07-01,809.6,710.5,73.67
2022-08-01,818.8,718.21,72.94
2022-09-01,800.4,701.2,72.62
2022-10-01,763.6,670.0,73.66
2022-11-01,754.4,662.58,73.71
2022-12-01,772.8,678.53,73.33
2023-01-01,741.0,654.25,74.71
2023-02-01,712.5,628.86,74.87
2023-03-01,769.5,679.42,74.25
2023-04-01,779.0,687.81,74.46
2023-05-01,807.5,712.19,73.55
2023-06-01,817.0,721.16,74.24
2023-07-01,836.0,737.38,73.88
2023-08-01,845.5,746.04,74.51
2023-09-01,826.5,729.16,74.69
2023-10-01,788.5,695.65,74.61
2023-11-01,779.0,687.17,73.67
2023-12-01,798.0,703.88,73.7
2024-01-01,764.4,700.93,75.21
2024-02-01,735.0,674.83,75.96
2024-03-01,793.8,728.0,74.83
2024-04-01,803.6,737.46,75.8
2024-05-01,833.0,764.43,75.42
2024-06-01,842.8,772.65,74.51
2024-07-01,862.4,790.52,74.47
2024-08-01,872.2,800.28,75.48
2024-09-01,852.6,781.8,74.99
2024-10-01,813.4,745.6,74.91
2024-11-01,803.6,737.21,75.65
2024-12-01,823.2,755.12,75.14
2025-01-01,780.0,738.18,76.13
2025-02-01,750.0,709.41,75.85
2025-03-01,810.0,774.18,75.67
2025-04-01,820.0,783.55,75.36
2025-05-01,850.0,820.12,76.11
2025-06-01,860.0,829.69,75.0
2025-07-01,880.0,856.66,75.45
2025-08-01,890.0,866.61,74.91
2025-09-01,870.0,838.74,74.89
2025-10-01,830.0,759.49,73.56
2025-11-01,820.0,711.65,73.43
2025-12-01,840.0,696.61,71.44
