report_date,ore_plan,ore_actual,waste_plan,waste_actual
2021-01-01,702.0,642.09,0.0,0.0
2021-02-01,675.0,617.26,0.0,0.0
2021-03-01,729.0,667.07,0.0,0.0
2021-04-01,738.0,675.44,0.0,0.0
2021-05-01,765.0,699.73,0.0,0.0
2021-06-01,774.0,708.23,0.0,0.0
2021-07-01,792.0,724.46,0.0,0.0
2021-08-01,801.0,731.83,0.0,0.0
2021-09-01,783.0,716.5,0.0,0.0
2021-10-01,747.0,683.22,0.0,0.0
2021-11-01,738.0,675.08,0.0,0.0
2021-12-01,756.0,691.52,0.0,0.0
2022-01-01,717.6,630.23,0.0,0.0
2022-02-01,690.0,605.81,0.0,0.0
2022-03-01,745.2,654.46,0.0,0.0
2022-04-01,754.4,661.54,0.0,0.0
2022-05-01,782.0,685.95,0.0,0.0
2022-06-01,791.2,694.26,0.0,0.0
2022-07-01,809.6,710.5,0.0,0.0
2022-08-01,818.8,718.21,0.0,0.0
2022-09-01,800.4,701.2,0.0,0.0
2022-10-01,763.6,670.0,0.0,0.0
2022-11-01,754.4,662.58,0.0,0.0
2022-12-01,772.8,678.53,0.0,0.0
2023-01-01,741.0,654.25,0.0,0.0
2023-02-01,712.5,628.86,0.0,0.0
2023-03-01,769.5,679.42,0.0,0.0
2023-04-01,779.0,687.81,0.0,0.0
2023-05-01,807.5,712.19,0.0,0.0
2023-06-01,817.0,721.16,0.0,0.0
2023-07-01,836.0,737.38,0.0,0.0
2023-08-01,845.5,746.04,0.0,0.0
2023-09-01,826.5,729.16,0.0,0.0
2023-10-01,788.5,695.65,0.0,0.0
2023-11-01,779.0,687.17,0.0,0.0
2023-12-01,798.0,703.88,0.0,0.0
2024-01-01,764.4,700.93,0.0,0.0
2024-02-01,735.0,674.83,0.0,0.0
2024-03-01,793.8,728.0,0.0,0.0
2024-04-01,803.6,737.46,0.0,0.0
2024-05-01,833.0,764.43,0.0,0.0
2024-06-01,842.8,772.65,0.0,0.0
2024-07-01,862.4,790.52,0.0,0.0
2024-08-01,872.2,800.28,0.0,0.0
2024-09-01,852.6,781.8,0.0,0.0
2024-10-01,813.4,745.6,0.0,0.0
2024-11-01,803.6,737.21,0.0,0.0
2024-12-01,823.2,755.12,0.0,0.0
2025-01-01,780.0,738.18,0.0,0.0
2025-02-01,750.0,709.41,0.0,0.0
2025-03-01,810.0,774.18,0.0,0.0
2025-04-01,820.0,783.55,0.0,0.0
2025-05-01,850.0,820.12,0.0,0.0
2025-06-01,860.0,829.69,0.0,0.0
2025-07-01,880.0,856.66,0.0,0.0
2025-08-01,890.0,866.61,0.0,0.0
2025-09-01,870.0,838.74,0.0,0.0
2025-10-01,830.0,759.49,0.0,0.0
2025-11-01,820.0,711.65,0.0,0.0
2025-12-01,840.0,696.61,0.0,0.0
