report_date,incidents,near_misses,critical_risks,safety_score
2021-01-01,0,4,0,91.12
2021-02-01,0,4,0,90.0
2021-03-01,0,5,0,89.14
2021-04-01,0,3,0,93.34
2021-05-01,0,3,0,93.58
2021-06-01,0,3,0,93.26
2021-07-01,0,3,0,92.06
2021-08-01,0,5,0,89.62
2021-09-01,0,3,0,93.26
2021-10-01,0,3,0,91.74
2021-11-01,0,4,0,89.28
2021-12-01,0,2,0,93.64
2022-01-01,0,3,0,93.66
2022-02-01,0,3,0,95.1
2022-03-01,0,2,0,96.52
2022-04-01,0,4,0,92.24
2022-05-01,0,4,0,90.56
2022-06-01,0,5,0,88.42
2022-07-01,0,4,0,91.92
2022-08-01,1,3,1,74.94
2022-09-01,0,5,0,89.38
2022-10-01,0,4,0,90.56
2022-11-01,0,5,0,91.94
2022-12-01,0,5,0,90.74
2023-01-01,0,4,0,91.52
2023-02-01,0,2,0,97.0
2023-03-01,1,5,1,72.02
2023-04-01,0,3,0,95.5
2023-05-01,0,2,0,96.92
2023-06-01,0,1,0,96.66
2023-07-01,0,2,0,95.16
2023-08-01,0,0,0,99.44
2023-09-01,0,1,0,98.42
2023-10-01,0,3,0,93.98
2023-11-01,0,1,0,98.5
2023-12-01,0,4,0,94.0
2024-01-01,0,4,0,92.32
2024-02-01,0,1,0,97.62
2024-03-01,0,2,0,96.36
2024-04-01,0,2,0,97.0
2024-05-01,0,2,0,97.0
2024-06-01,0,3,0,95.5
2024-07-01,0,2,0,95.8
2024-08-01,0,3,0,95.5
2024-09-01,0,4,0,94.0
2024-10-01,0,0,0,100.0
2024-11-01,0,4,0,94.0
2024-12-01,0,0,0,100.0
2025-01-01,0,2,0,97.0
2025-02-01,0,3,0,95.5
2025-03-01,0,1,0,98.5
2025-04-01,0,2,0,97.0
2025-05-01,0,3,0,95.5
2025-06-01,0,3,0,95.5
2025-07-01,0,1,0,98.5
2025-08-01,0,2,0,96.28
2025-09-01,0,4,0,94.0
2025-10-01,0,4,0,94.0
2025-11-01,0,4,0,94.0
2025-12-01,0,6,1,91.0
